id,emetteur,declencheur,expediteur_from,destinataire,reply_to,objet,contenu,service,source_code,note
E01,site,"Soumission du formulaire de contact (FR ou EN), POST /api/contact",process.env.CONTACT_FROM_EMAIL [donnée à fournir : valeur en prod],contact@syntheticswarm.ai,email du visiteur,Contact: <sujet saisi>,"Texte brut : Name, Email, Company, puis message",Resend (api.resend.com/emails),api/contact.js lignes 34-38,Aucun accusé de réception envoyé au visiteur
E02,site,"Soumission du bloc newsletter, POST /api/newsletter",aucun (aucun email émis),aucun,,,Création ou réactivation d un contact Resend (PATCH puis POST /contacts),Resend Contacts API,api/newsletter.js lignes 22-36,"Aucun email de confirmation ni double opt-in ; README : ""No newsletter email is sent by this endpoint"""
E03,visiteur (mailto),"Clic ""Envoyer un email"" sur /opposition",client mail du visiteur,contact@syntheticswarm.ai,,Demande d opposition - Synthetic Swarm,"Corps prérempli : Bonjour, Je souhaite demander le retrait de mes coordonnées. Nom, Prénom, Entreprise, Email ou téléphone à retirer",mailto,opposition.html ligne page-button,
E04,visiteur (mailto),"Clic ""Send an email"" sur /opt-out",client mail du visiteur,contact@syntheticswarm.ai,,Opt-out request - Synthetic Swarm,"Corps prérempli : Hello, I would like to request the removal of my contact details. First name, Last name, Company, Email or phone number to remove",mailto,opt-out.html,
E05,visiteur (mailto),Clic candidature Tech sur /recrutement,client mail du visiteur,contact@syntheticswarm.ai,,Candidature Tech — Synthetic Swarm,vide,mailto,recrutement.html,Le sujet contient un tiret cadratin (—) encodé %E2%80%94
E06,visiteur (mailto),Clic candidature Sales US sur /recrutement,client mail du visiteur,contact@syntheticswarm.ai,,Candidature Sales US — Synthetic Swarm,vide,mailto,recrutement.html,tiret cadratin dans le sujet
E07,visiteur (mailto),Clic candidature Sales France sur /recrutement,client mail du visiteur,contact@syntheticswarm.ai,,Candidature Sales France — Synthetic Swarm,vide,mailto,recrutement.html,tiret cadratin dans le sujet
E08,visiteur (mailto),Clic candidature Chief of Staff sur /recrutement,client mail du visiteur,contact@syntheticswarm.ai,,Candidature Chief of Staff — Synthetic Swarm,vide,mailto,recrutement.html,tiret cadratin dans le sujet
E09,visiteur (mailto),Clic application Tech sur /careers,client mail du visiteur,contact@syntheticswarm.ai,,Application: Tech — Synthetic Swarm,vide,mailto,careers.html,tiret cadratin dans le sujet
E10,visiteur (mailto),Clic application Sales US sur /careers,client mail du visiteur,contact@syntheticswarm.ai,,Application: Sales US — Synthetic Swarm,vide,mailto,careers.html,tiret cadratin dans le sujet
E11,visiteur (mailto),Clic application Sales France sur /careers,client mail du visiteur,contact@syntheticswarm.ai,,Application: Sales France — Synthetic Swarm,vide,mailto,careers.html,tiret cadratin dans le sujet
E12,visiteur (mailto),Clic application Chief of Staff sur /careers,client mail du visiteur,contact@syntheticswarm.ai,,Application: Chief of Staff — Synthetic Swarm,vide,mailto,careers.html,tiret cadratin dans le sujet
E13,visiteur (mailto),"Liens mailto simples (18 occurrences : contact, mentions légales, confidentialité, CGV, opposition, footer)",client mail du visiteur,contact@syntheticswarm.ai,,aucun,vide,mailto,"contact.html, contact-fr.html, legal-notice.html, mentions-legales.html, privacy.html, confidentialite.html, terms.html, conditions.html, opposition.html, opt-out.html",
E14,app,POST /api/v1/auth/register (inscription),[donnée à fournir : code de l app non accessible],email du nouvel utilisateur,,[donnée à fournir],Email de vérification (route GET /verify-email existe),Resend (webhook POST /webhooks/resend déclaré dans openapi.json),app.syntheticswarm.ai/openapi.json,"Déduit de l OpenAPI : register, verify-email, resend-verification"
E15,app,POST /api/v1/auth/forgot-password,[donnée à fournir],email de l utilisateur,,[donnée à fournir],Lien de réinitialisation (route GET /reset-password),Resend (déduit),app.syntheticswarm.ai/openapi.json,Déduit de l OpenAPI
E16,app,PATCH /api/v1/auth/me (changement d email) puis /revert-email,[donnée à fournir],ancien et nouvel email,,[donnée à fournir],Confirmation de changement d email et lien d annulation (GET /revert-email),Resend (déduit),app.syntheticswarm.ai/openapi.json,Déduit de l OpenAPI
E17,app / Stripe,POST /api/v1/billing/checkout-direct ou checkout-trial,Stripe,email de l utilisateur,,[donnée à fournir],Reçus et factures Stripe,Stripe,app.syntheticswarm.ai/openapi.json et CGV article 4 (Stripe),Déduit ; non vérifiable sans paiement réel
