"id","severite","verdict","flux_sources","pages","fichiers","element","constat","preuves","correction"
"U001","BLOQUANT","CASSÉ","01;02;18;19;22","/contact-fr;/contact;26 pages (bloc newsletter);/api/contact;/api/newsletter","api/contact.js;api/newsletter.js;newsletter.js;contact.js;scripts/site_layout.py","Formulaires contact et newsletter en 503 (Resend non configuré)","Les 4 soumissions valides du formulaire de contact (19:57 à 20:00 UTC) et les 3 inscriptions newsletter de test reçoivent HTTP 503 (`{""ok"":false,""error"":""configuration""}` et `{""ok"":false}`) : api/contact.js l.30 et api/newsletter.js l.21 renvoient 503 quand RESEND_API_KEY (et CONTACT_FROM_EMAIL) manquent dans l'environnement Vercel. Aucun message ni inscription n'est collecté alors que le formulaire de contact est l'action principale de sa page et que le bloc newsletter est affiché sur les 26 pages ; le message newsletter invite à réessayer une action vouée à l'échec.","01 (l.11) : Requête 2026-09-19T19:51:53.981Z POST https://www.syntheticswarm.ai/api/newsletter, corps `{""email"":""contact+audit-nl-20260919T195150Z@syntheticswarm.ai"",""lang"":""fr"",""company_website"":""""}` ; réponse 19:51:56.700Z 503, `x-vercel-id: iad1::iad1::cnrw6-1789847516058-3171777dfa27`, corps `{""ok"":false}` (scratchpad/flux01/submit.json) ; captures docs/audit-total/screens/01/index-fr-1440-newsletter-avant.png, index-fr-1440-newsletter-pendant.png (bouton ""Inscription…"" désactivé, aria-busy=true), index-fr-1440-newsletter-apres.png (réelle, message sous le bord bas du fenêtrage, état DOM enregistré : status=""Impossible de vous inscrire pour le moment. Réessayez."") et index-fr-1440-newsletter-apres-rejeu503.png (même réponse rejouée dans le navigateur pour le cadrage) || 02 (l.13) : Annexe A (6 réponses brutes, x-vercel-id `iad1::iad1::974mt-1789847874001-fe5bda347684` pour FR n° 1) ; captures docs/audit-total/screens/02/contact-fr-1440-envoi1-valide-503.png, contact-fr-1440-envoi2-5000-503.png, contact-1440-envoi1-valide-503.png, contact-1440-envoi3-1-caractere-503.png ; api/contact.js l.30 ; CONTACT_SETUP.md l.11-13 (« Until configured, valid submissions return HTTP 503 ») || 18 (l.11) : docs/audit-total/screens/18/contact-valid-1.txt (http 503), docs/audit-total/screens/18/newsletter-valid-1.txt (http 503) ; api/contact.js ligne 30 ; api/newsletter.js ligne 21 ; CONTACT_SETUP.md (""valid submissions return HTTP 503"") || 19 (l.68) : cookies-tiers.json newsletterTest ; api/newsletter.js ligne 21 ; capture screens/19/index-fr-1440-newsletter-apres-inscription.png || 19 (l.73) : api/contact.js ligne 30 ; CONTACT_SETUP.md lignes 11 à 13 ; cookies-tiers.json newsletterTest.status = 503 || 22 (l.16) : Constat du flux 18 (docs/audit-total/screens/18/contact-valid-1.txt et newsletter-valid-1.txt : HTTP 503), non re-soumis par ce flux ; contact.js l.7 et l.10 ; newsletter.js l.8 et l.10","Vercel > Project > Settings > Environment Variables, environnement Production : `RESEND_API_KEY` = clé Resend avec permission d'envoi ; `CONTACT_FROM_EMAIL` = `contact@syntheticswarm.ai` (ou une autre adresse en @syntheticswarm.ai : l'enregistrement DKIM Resend `resend._domainkey.syntheticswarm.ai` existe déjà, `dig +short TXT resend._domainkey.syntheticswarm.ai`). Puis Deployments > Redeploy, puis une soumission de test et vérification de la réception dans contact@. En CLI : `vercel env add RESEND_API_KEY production && vercel env add CONTACT_FROM_EMAIL production && vercel --prod`. Indice : api/newsletter.js l.21 n'exige que `RESEND_API_KEY` ; si la newsletter fonctionne (flux 03), la variable manquante est `CONTACT_FROM_EMAIL` [donnée à fournir : état des deux variables dans Vercel] ; pour la newsletter, la clé doit avoir la permission Resend « Full access » (API Contacts ; une clé « Sending access » ne suffit pas, rapport 01 C1) ; vérification : `curl -s -o /dev/null -w '%{http_code}\n' -X POST https://www.syntheticswarm.ai/api/newsletter -H 'Content-Type: application/json' -d '{""email"":""contact+verif@syntheticswarm.ai"",""lang"":""fr""}'` attendu 200 ; tant que la clé n'est pas posée, retirer le bloc newsletter (scripts/site_layout.py lignes 81 à 89 puis régénération) ou remplacer newsletter.js l.8 `'Impossible de vous inscrire pour le moment. Réessayez.'` par `'Inscription indisponible pour le moment : écrivez à contact@syntheticswarm.ai.'` et l.10 par `'Subscription is unavailable right now: email contact@syntheticswarm.ai.'` (rapport 22)"
"U002","BLOQUANT","CASSÉ","01;19;22","26 pages (bloc newsletter du pied de page);/confidentialite;/privacy","scripts/site_layout.py;site-pages.css;confidentialite.html;privacy.html","Newsletter : aucune information RGPD à la collecte","La section #newsletter des 26 pages se limite à « RESTEZ INFORMÉ / Recevez nos nouveautés produit et annonces importantes. / S'inscrire » : aucune mention d'information (responsable, finalité, base légale, désinscription), aucun lien vers la politique de confidentialité, aucune fréquence ; la politique ne cite ni la newsletter ni Resend (RGPD art. 13, CPCE art. L34-5).","01 (l.14) : pages.json (section.links = [] et mentionRgpd = false sur 26 pages) ; `grep -n -i newsletter confidentialite.html privacy.html` : lignes 76, 77, 79, 81, 82, 95 uniquement ; `grep -i -c resend confidentialite.html privacy.html` : 0 et 0 ; captures index-fr-1440-newsletter.png, opposition-1440-newsletter.png || 19 (l.67) : cookies-tiers.json newsletterText ; scripts/site_layout.py lignes 81 à 89 ; capture screens/19/index-fr-1440-newsletter-sans-mention.png || 22 (l.28) : docs/audit-total/screens/22/home-fr-1440-footer.png ; index-fr.html l.297 ; site-pages.css l.158 (`.brand-close-fields button { background:transparent; color:#666 }`)","scripts/site_layout.py ligne 87, à insérer avant `<p data-newsletter-status` (puis reporter dans les 26 pages ; ne pas exécuter le script sur le dépôt) : FR `<p class=""newsletter-legal"">En vous inscrivant, vous acceptez de recevoir nos actualités produit par email (environ [fréquence : donnée à fournir]). Responsable : NOVALIS DEVELOPPEMENT (Synthetic Swarm). Vous pouvez vous désinscrire à tout moment via le lien présent dans chaque email ou à contact@syntheticswarm.ai. Votre adresse est conservée jusqu'à désinscription et traitée par notre prestataire Resend (États-Unis). <a href=""/confidentialite"">Politique de confidentialité</a>.</p>` ; EN `<p class=""newsletter-legal"">By subscribing you agree to receive our product news by email (about [fréquence : donnée à fournir]). Controller: NOVALIS DEVELOPPEMENT (Synthetic Swarm). Unsubscribe at any time via the link in every email or at contact@syntheticswarm.ai. Your address is kept until you unsubscribe and processed by our provider Resend (United States). <a href=""/privacy"">Privacy policy</a>.</p>` ; site-pages.css : `.newsletter-legal, .contact-legal { font-size: 0.8rem; color: #666; line-height: 1.4; margin-top: 8px; }` (rapport 19, Annexe F ; variante équivalente rapport 01 C3) ; rapport 22 : remplacer aussi index-fr.html l.297 `<p>Recevez nos nouveautés produit et annonces importantes.</p>` par `<p>Une fois par mois : nouveaux signaux détectés et nouveautés produit. Pas de prospection. <a href=""/confidentialite"">Confidentialité</a>.</p>` (EN : `<p>Once a month: new signals and product updates. No prospecting. <a href=""/privacy"">Privacy</a>.</p>`) et site-pages.css l.158 `background:#1a1a1a; color:#fff;` pour le bouton S'inscrire ; la section Newsletter de la politique est traitée en U030"
"U003","BLOQUANT","CASSÉ","02;19","/contact-fr;/contact;/confidentialite;/privacy","contact-fr.html;contact.html;contact.css;confidentialite.html;privacy.html","Formulaire de contact : aucune information RGPD au point de collecte","Le formulaire (Nom, Prénom, Email, Entreprise, Sujet, Message) est suivi directement du bouton Envoyer (contact-fr.html l.58, contact.html l.58) : aucune mention ni lien d'information ; la politique de confidentialité ne décrit pas ce traitement (`grep -c formulaire confidentialite.html` = 0, `grep -c ""contact form"" privacy.html` = 0).","02 (l.14) : contact-fr.html l.58 ; contact.html l.58 ; confidentialite.html et privacy.html (texte du `main` extrait le 2026-09-19 : 6 sections, aucune sur le formulaire) || 19 (l.71) : contact-fr.html ligne 58 ; cookies-tiers.json contactFormText ; capture screens/19/contact-fr-1440-formulaire-sans-mention-rgpd.png","Avant `<button class=""page-button"" type=""submit"">` ajouter, FR : `<p class=""contact-privacy"">Ces informations servent uniquement à répondre à votre demande et sont conservées [donnée à fournir : durée] au plus. Voir notre <a href=""/confidentialite"">politique de confidentialité</a>.</p>` ; EN : `<p class=""contact-privacy"">This information is used only to answer your request and is kept for at most [donnée à fournir : durée]. See our <a href=""/privacy"">privacy policy</a>.</p>` ; contact.css : `.contact-privacy { margin-top: 14px; font-size: 12px; color: #555; line-height: 1.5; }`. Dans confidentialite.html, section « Données utilisées », ajouter `<p>Formulaire de contact : nom, prénom, email, entreprise, sujet et message, utilisés uniquement pour répondre à votre demande, conservés [donnée à fournir : durée] au plus, acheminés par notre prestataire d'emails Resend.</p>` et dans privacy.html `<p>Contact form: first name, last name, email, company, subject and message, used only to answer your request, kept for at most [donnée à fournir : durée], delivered through our email provider Resend.</p>` ; variante du rapport 19 (Annexe F) : `<p class=""contact-legal"">Les informations saisies sont traitées par NOVALIS DEVELOPPEMENT (Synthetic Swarm) pour répondre à votre demande (intérêt légitime). Elles sont transmises par notre prestataire d'emails Resend (États-Unis) et conservées [durée : donnée à fournir, par exemple 3 ans après le dernier échange]. Vous disposez de droits d'accès, de rectification, d'effacement et d'opposition : <a href=""/confidentialite"">Politique de confidentialité</a>.</p>` (EN : `The information you enter is processed by NOVALIS DEVELOPPEMENT (Synthetic Swarm) to answer your request (legitimate interest). It is relayed by our email provider Resend (United States) and kept for [durée : donnée à fournir]. You have rights of access, rectification, erasure and objection: <a href=""/privacy"">Privacy policy</a>.`)"
"U004","BLOQUANT","CASSÉ","04;T1","/tarifs;/pricing;/index-fr;/ (390 px);app /ui/","tarifs.html;pricing.html;pricing-interactive.css","Achat impossible depuis un mobile : app bloquée sous 700 px","Le configurateur et le bouton « Choose this plan » fonctionnent à 390 x 844, mais l'app affiche plein écran « Open Synthetic Swarm on a computer » (ui.html l.2139 à 2151 `@media (max-width: 699px) { .small-screen-gate { display:flex; position:fixed; inset:0; z-index:9999 } #sidebar, #appMain { display:none !important } }`) : aucun champ, aucun bouton (inputs [] et buttons []), ni inscription ni paiement possible depuis un téléphone.","04 (l.22) : app-arrivee-390-depuis-pricing.png ; site-pricing-results.json, checkoutClick[""pricing@390""] ; ui.html (copie scratchpad app/ui.html) lignes 2138-2151 et 13543-13547 || T1 (l.77) : rapport 04 ligne 22 ; tarifs.html:103 ; scratchpad/app/ui.html:2139, 13545","décision fondateurs : Dans ui.html, ne bloquer que les vues denses : sur `<body>` ajouter `:class=""{ 'gate-app': isAuthenticated && !['auth','pricing-choice','onboarding-redirect','verify-email','reset-password','revert-email','billing-success','billing-cancel'].includes(currentView) }""` et remplacer la règle des lignes 2139-2151 par `@media (max-width: 699px) { body.gate-app .small-screen-gate { display:flex; position:fixed; inset:0; z-index:9999; flex-direction:column; align-items:center; justify-content:center; gap:16px; padding:32px; text-align:center; background:var(--ss-surface); color:var(--ss-text-primary); } body.gate-app #sidebar, body.gate-app #appMain { display:none !important; } }` ; en attendant, sur le site, ajouter sous le bouton d'achat (pricing.html et tarifs.html après la ligne 103) `<p class=""pricing-config-summary"">La souscription se fait sur ordinateur.</p>` ; option B de T1-63 : masquer le bouton d'achat sous 700 px avec `@media (max-width: 699px) { .pricing-config-btn[data-pricing-checkout] { display:none; } }` dans pricing-interactive.css et afficher `<p class=""pricing-config-note"">Souscription depuis un ordinateur</p>` (EN « Subscribe from a computer »)"
"U005","BLOQUANT","CASSÉ","12;19;T1","/mentions-legales;/legal-notice;/confidentialite;/privacy","mentions-legales.html;legal-notice.html;confidentialite.html;privacy.html","Dénomination « Synthetic Swarm (SAS) » contre registre NOVALIS DEVELOPPEMENT","Les pages écrivent « Synthetic Swarm (SAS) » (mentions-legales.html:60, legal-notice.html:60) et « Responsable du traitement Synthetic Swarm (SAS) » (confidentialite.html:60, privacy.html:60) à côté de « SIREN / RCS : 993 422 120 » ; le registre national (recherche-entreprises.api.gouv.fr, 2026-09-19) renvoie pour ce SIREN la dénomination NOVALIS DEVELOPPEMENT, SAS créée le 2025-10-29, président Axel Carron, même adresse, aucun nom commercial « Synthetic Swarm » enregistré (0 résultat pour « synthetic swarm »). Le flux 12 n'avait pu vérifier (réseau), le flux 19 l'a fait.","19 (l.21) : scratchpad flux19/sirene.json (total_results 1) ; mentions-legales.html ligne 60 ; legal-notice.html ligne 60 || 12 (l.36) : mentions-legales.html:60-62 ; legal-notice.html:60-62 ; journal des 3 tentatives (curl HTTP 000 ""Recv failure: Connection reset by peer"", WebFetch 503) || T1 (l.58) : rapport 19 lignes 21 et 55 ; rapport 12 ligne 36 (vérification réseau impossible pour ce flux) ; mentions-legales.html:60, 62 ; legal-notice.html:60, 62 ; confidentialite.html:60 ; privacy.html:60","mentions-legales.html:60 : `<p>NOVALIS DEVELOPPEMENT, société par actions simplifiée au capital de [donnée à fournir] euros, exploitant le service et la marque Synthetic Swarm</p>` (formulation du rapport 19 ligne 82) ; legal-notice.html:60 : `<p>NOVALIS DEVELOPPEMENT, a French SAS (share capital: [to be provided] EUR), operating the Synthetic Swarm service and brand</p>` ; confidentialite.html:60 et privacy.html:60 : même dénomination avant « Synthetic Swarm »"
"U006","BLOQUANT","CASSÉ","05;13;19;22","/mentions-legales;/legal-notice","mentions-legales.html;legal-notice.html;tests/legal.test.cjs","Mentions légales incomplètes (capital, greffe, TVA, téléphone, hébergeur)","Le `<main>` des deux pages tient en 4 paragraphes (forme « (SAS) », adresse, « SIREN / RCS : 993 422 120 » sans ville de greffe, email) : aucune occurrence de « capital », « TVA », « directeur », « publication », « héberg », « téléphone » (LCEN art. 1-1, I, 2° à 5° et art. 19 : capital social, RCS avec greffe, numéro de TVA si assujetti, téléphone, directeur de la publication, hébergeur avec adresse et téléphone) ; le site est servi par Vercel (iad1) et l'app hébergée chez Hetzner.","05 (l.23) : `grep -n -i -E 'capital|TVA|VAT|directeur|publication|héberg|hosting|Vercel|SIRET' mentions-legales.html legal-notice.html` → aucune ligne ; captures docs/audit-total/screens/05/mentions-legales-1440-page.png et legal-notice-1440-page.png || 13 (l.59) : Extraits mentions-legales.html:62, legal-notice.html:62 || 19 (l.23) : mentions-legales.html lignes 59 à 64 : aucune occurrence de ""capital"" (`grep -c -i capital mentions-legales.html legal-notice.html` = 0, 0) || 19 (l.24) : `grep -c -iE -e ""t[ée]l[ée]phone"" -e ""\+33"" -e ""0[1-9]( ?[0-9]{2}){4}"" mentions-legales.html legal-notice.html contact-fr.html` = 0 partout ; capture screens/19/mentions-legales-1440-contenu-main.png || 19 (l.25) : mentions-legales.html ligne 62 ; legal-notice.html ligne 62 || 19 (l.26) : `grep -c -i ""directeur"" mentions-legales.html` = 0 ; registre : président Axel Carron (sirene.json dirigeants) || 19 (l.27) : `curl -sD - https://www.syntheticswarm.ai/` : server: Vercel ; RDAP RIPE 178.104.121.108 ; `grep -c -i -e héberg -e hosting mentions-legales.html legal-notice.html` = 0, 0 || 19 (l.28) : `grep -c -i -e TVA -e VAT mentions-legales.html legal-notice.html` = 0, 0 ; `python3 -c ""s=993422120; print('FR%02d%d' % ((12+3*(s%97))%97, s))""` = FR57993422120 || 22 (l.33) : scratchpad/prod/mentions-legales.html l.62 (texte rendu de 22 mots) ; docs/audit-total/screens/22/mentions-legales-1440-fold.png","Remplacer le contenu de `<main>` de mentions-legales.html (lignes 59 à 63) par (rapport 19, Annexe A) : `<h1>Mentions légales</h1><section><h2>Éditeur du site</h2><p>NOVALIS DEVELOPPEMENT, société par actions simplifiée au capital de [donnée à fournir] euros, exploitant le service et la marque Synthetic Swarm.</p><p>Siège social : 15 rue de la Gare, 62690 Izel-lès-Hameau, France</p><p>RCS [ville du greffe : donnée à fournir] 993 422 120 (SIREN 993 422 120)</p><p>TVA intracommunautaire : [donnée à fournir]</p><p>Téléphone : [donnée à fournir]</p><p>Email : <a href=""mailto:contact@syntheticswarm.ai"">contact@syntheticswarm.ai</a></p><p>Directeur de la publication : Axel Carron, Président [à confirmer]</p></section><section><h2>Hébergement</h2><p>Site www.syntheticswarm.ai : Vercel Inc., 440 N Barranca Avenue #4133, Covina, CA 91723, États-Unis, téléphone [donnée à fournir], https://vercel.com</p><p>Application app.syntheticswarm.ai : Hetzner Online GmbH, Industriestrasse 25, 91710 Gunzenhausen, Allemagne, téléphone [donnée à fournir], https://www.hetzner.com</p><p>Envoi des emails : Resend Inc., [adresse : donnée à fournir], États-Unis. Paiement : Stripe Payments Europe Ltd, [adresse : donnée à fournir].</p></section>` ; legal-notice.html (lignes 59 à 63) : même structure en anglais (`<h1>Legal Notice</h1><section><h2>Publisher</h2><p>NOVALIS DEVELOPPEMENT, a French société par actions simplifiée with a share capital of [donnée à fournir] euros, operating the Synthetic Swarm service and brand.</p> ... <section><h2>Hosting</h2> ...`) ; tests/legal.test.cjs ligne 44 : passer le compte de h2 de ces pages de 0 à 2 ; valeurs entre crochets à prendre sur le Kbis et l'attestation de TVA (numéro candidat FR57993422120 à confirmer)"
"U007","BLOQUANT","CASSÉ","19;T1","/tarifs;/pricing;/index-fr;/;/conditions;/terms","tarifs.html;pricing.html;index-fr.html;index.html;pricing.js;conditions.html;terms.html","Prix sans HT ni TTC, CGV muettes sur les taxes","« 399 € » « /mois » (tarifs.html:74 et 75, pricing.html:75, index-fr.html:239, index.html:239, pricing.js:29) sans HT, TTC, TVA ni « taxes » sur les 26 pages ; CGV art. 3 et 4 (conditions.html:64 et 65) muettes sur les taxes, art. 3 renvoyant à une page Tarifs modifiable sans historique au lieu d'un barème (LCEN art. 19 dernier alinéa ; C. com. art. L441-1, I).","19 (l.31) : tarifs.html lignes 74 et 75 ; pricing.js lignes 5 à 12 ; `grep -n -o -iE -e ""\bHT\b"" -e TTC -e ""hors taxes"" -e ""toutes taxes"" *.html` : aucune ; capture screens/19/tarifs-1440-prix-sans-mention-ht-ttc.png ; cookies-tiers.json tarifsPriceText = ""399 €\n/mois"" || 19 (l.34) : conditions.html ligne 64 ; terms.html ligne 63 || T1 (l.66) : rapport 19 ligne 31 ; tarifs.html:74, 75 ; pricing.html:75 ; index-fr.html:239 ; index.html:239 ; pricing.js:29 ; conditions.html:64, 65","tarifs.html:75 et index-fr.html:239 : `<span class=""pricing-config-period"" data-pricing-period>HT /mois</span>` ; pricing.html:75 et index.html:239 : `excl. VAT /month` (si les prix sont TTC, écrire TTC et « incl. VAT » : décision fondateurs) ; remplacer l'article 3 de conditions.html par (rapport 19, Annexe D, clause 3) : `<p>Les prix sont exprimés en euros hors taxes ; la TVA au taux en vigueur s'ajoute lors de la facturation. Grille en vigueur à la date des présentes : 10 fiches par semaine : 89 € HT par mois ; 20 fiches : 169 € HT ; 50 fiches : 399 € HT ; 100 fiches : 789 € HT ; 200 fiches : 1 499 € HT ; au-delà de 200 fiches par semaine : sur devis. Le prix applicable est celui affiché sur la page <a href=""/tarifs"">Tarifs</a> et dans le récapitulatif au moment de la souscription. Sauf indication contraire, aucune réduction ou remise n'est applicable.</p>` (terms.html : « Prices are quoted in euros excluding VAT; VAT at the applicable rate is added at invoicing. » puis la même grille) ; le bloc prix de l'accueil est recopié par scripts/site_layout.py depuis la page tarifs (README l.8)"
"U008","BLOQUANT","CASSÉ","19","/conditions (art. 4);/terms (art. 4)","conditions.html;terms.html","CGV art. 4 sans taux de pénalités ni escompte","« Tout retard de paiement entraîne les pénalités prévues par la réglementation applicable ainsi que l'indemnité forfaitaire de 40 € » : indemnité présente, mais ni taux ni conditions d'application des pénalités (C. com. art. L441-10, II ; amende administrative art. L441-16) ni mention de l'escompte pour paiement anticipé (art. L441-9, I).","19 (l.33) : conditions.html ligne 65 ; terms.html ligne 64 || 19 (l.35) : `grep -c -i escompte conditions.html` = 0","Remplacer l'article 4 de conditions.html par (rapport 19, Annexe D, clause 4) : `<p>L'abonnement est facturé mensuellement, à terme à échoir, et payé par carte bancaire via Stripe à la date de souscription puis à chaque renouvellement. Aucun escompte n'est accordé pour paiement anticipé. Conformément à l'article L441-10 du Code de commerce, toute somme non réglée à la date d'exigibilité porte de plein droit, sans rappel préalable, des pénalités de retard exigibles le jour suivant la date de règlement figurant sur la facture, calculées au taux d'intérêt appliqué par la Banque centrale européenne à son opération de refinancement la plus récente majoré de 10 points de pourcentage, ainsi qu'une indemnité forfaitaire pour frais de recouvrement de 40 € (article D441-5), une indemnisation complémentaire pouvant être réclamée sur justification.</p>` ; adapter terms.html art. 4"
"U009","BLOQUANT","CASSÉ","19","/confidentialite;/privacy","confidentialite.html;privacy.html;tests/legal.test.cjs","Politique de confidentialité sans base légale (RGPD art. 13)","Aucune base légale citée, aucun intérêt légitime décrit ; le traitement réel (nom, prénom, portable du dirigeant, email, LinkedIn, signal daté, transmis aux clients, FAQ ""Quelles informations j'obtiens ?"") est un traitement de données de personnes physiques","19 (l.45) : confidentialite.html lignes 60 à 65 (6 sections, aucune ne mentionne ""base légale"", ""intérêt légitime"" ou ""consentement"") ; faq-fr.html ligne 148 ; capture screens/19/confidentialite-1440-contenu-main.png","Ajouter à confidentialite.html (rapport 19, Annexe C) : `<section><h2>Finalités et bases légales</h2><p>Constitution et fourniture de fiches de prospection à nos clients professionnels (courtiers et mandataires en assurance) : intérêt légitime (art. 6-1-f du RGPD) consistant à permettre une prospection interentreprises ciblée et en rapport avec votre activité professionnelle ; nous avons mis en balance cet intérêt avec vos droits (données strictement professionnelles, information, opposition simple et gratuite). Réponse à vos demandes via le formulaire de contact : intérêt légitime (gestion de la relation). Newsletter : consentement (art. 6-1-a), retirable à tout moment. Application et abonnement : exécution du contrat (art. 6-1-b) et obligations légales comptables (art. 6-1-c). Journaux de connexion et protection contre les abus : intérêt légitime (sécurité).</p></section>` (traduire pour privacy.html ; tests/legal.test.cjs:44 : passer le compte de h2 de 6 à 13 pour l'ensemble de l'Annexe C)"
"U010","BLOQUANT","CASSÉ","19","/confidentialite;/privacy et produit","confidentialite.html;privacy.html","Aucune information des dirigeants fichés (RGPD art. 14-3)","Aucune modalité : le site n'annonce aucune information individuelle des dirigeants fichés ; leurs données (dont le portable) sont transmises aux clients dans les 30 minutes (FAQ). Précédent CNIL KASPR (SAN-2024-020) : manquement aux art. 12 et 14 pour information tardive et en anglais seulement","19 (l.50) : confidentialite.html lignes 60 à 65 ; faq-fr.html lignes 148 et 154","Ajouter à confidentialite.html (rapport 19, Annexe C) : `<section><h2>Comment nous vous informons</h2><p>Lorsque vos coordonnées sont intégrées à une fiche, nous vous en informons individuellement par [email ou courrier : donnée à fournir] au plus tard lors de la première communication de la fiche à un client, en français, avec un lien direct vers la page <a href=""/opposition"">Droit d'opposition</a>. [Si l'éditeur invoque l'exemption de l'art. 14-5-b : décrire ici les mesures compensatoires et conserver l'analyse documentée.]</p></section>` et mettre en place la procédure interne avec ce modèle d'information individuelle : « Bonjour, Synthetic Swarm (NOVALIS DEVELOPPEMENT SAS) a collecté vos coordonnées professionnelles (nom, fonction, téléphone, email, profil LinkedIn) à partir de [source précise] afin de les transmettre à des courtiers en assurance pour une prospection en rapport avec votre activité, sur le fondement de son intérêt légitime. Vous pouvez vous y opposer à tout moment, gratuitement, en répondant à ce message ou sur https://www.syntheticswarm.ai/opposition ; vos droits d'accès, de rectification et d'effacement et les modalités complètes figurent sur https://www.syntheticswarm.ai/confidentialite. Vous pouvez saisir la CNIL. »"
